WorkflowID,StaffRole,TaskName,TimeMinutes,Date,EPRPeriod,Year
W475959,Doctor,Updating Notes,3,2022-01-10,AfterEPR,2022
W301636,Nurse,Updating Notes,2,2024-01-09,AfterEPR,2024
W793615,Admin,Documentation,7,2023-04-06,AfterEPR,2023
W175926,Doctor,Updating Notes,2,2022-07-12,AfterEPR,2022
W794698,Doctor,Updating Notes,3,2021-01-18,BeforeEPR,2021
W787390,Doctor,Ordering Tests,5,2019-09-10,BeforeEPR,2019
W352168,Admin,Documentation,8,2023-08-07,AfterEPR,2023
W588564,Doctor,Ordering Tests,6,2019-10-19,BeforeEPR,2019
W433339,Admin,Discharge Summary,10,2022-06-19,AfterEPR,2022
W967057,Doctor,Ordering Tests,5,2019-10-12,BeforeEPR,2019
W977660,Doctor,Updating Notes,2,2022-01-23,AfterEPR,2022
W298371,Admin,Updating Notes,5,2021-03-20,BeforeEPR,2021
W686536,Doctor,Updating Notes,2,2023-07-19,AfterEPR,2023
W446926,Nurse,Ordering Tests,3,2023-04-02,AfterEPR,2023
W991063,Nurse,Ordering Tests,3,2024-06-08,AfterEPR,2024
W317816,Admin,Documentation,11,2018-06-16,BeforeEPR,2018
W534556,Nurse,Discharge Summary,8,2023-03-10,AfterEPR,2023
W267928,Nurse,Discharge Summary,14,2020-02-14,BeforeEPR,2020
W103036,Doctor,Updating Notes,2,2024-08-20,AfterEPR,2024
W962289,Doctor,Updating Notes,5,2020-07-14,BeforeEPR,2020
W994259,Doctor,Documentation,12,2018-02-04,BeforeEPR,2018
W356442,Doctor,Ordering Tests,6,2020-04-05,BeforeEPR,2020
W389448,Admin,Documentation,7,2021-07-26,BeforeEPR,2021
W946587,Admin,Ordering Tests,6,2020-09-01,BeforeEPR,2020
W663768,Doctor,Updating Notes,3,2023-05-27,AfterEPR,2023
W551655,Nurse,Ordering Tests,2,2023-10-09,AfterEPR,2023
W277860,Admin,Discharge Summary,9,2023-02-08,AfterEPR,2023
W654138,Doctor,Updating Notes,3,2023-06-06,AfterEPR,2023
W425607,Doctor,Ordering Tests,6,2020-05-08,BeforeEPR,2020
W964157,Admin,Ordering Tests,5,2021-10-20,BeforeEPR,2021
W348006,Doctor,Documentation,6,2024-07-01,AfterEPR,2024
W962856,Nurse,Discharge Summary,8,2023-05-08,AfterEPR,2023
W791052,Admin,Discharge Summary,9,2022-08-20,AfterEPR,2022
W214167,Nurse,Documentation,6,2023-02-26,AfterEPR,2023
W681940,Nurse,Updating Notes,2,2022-07-19,AfterEPR,2022
W673958,Admin,Updating Notes,3,2024-03-03,AfterEPR,2024
W130621,Doctor,Documentation,13,2021-12-03,BeforeEPR,2021
W501080,Nurse,Ordering Tests,6,2018-11-10,BeforeEPR,2018
W410145,Nurse,Discharge Summary,11,2022-11-09,AfterEPR,2022
W505958,Nurse,Discharge Summary,10,2022-12-23,AfterEPR,2022
W851598,Doctor,Documentation,5,2024-08-24,AfterEPR,2024
W708906,Nurse,Updating Notes,3,2024-12-11,AfterEPR,2024
W892019,Nurse,Ordering Tests,5,2019-04-03,BeforeEPR,2019
W670830,Doctor,Ordering Tests,6,2020-10-07,BeforeEPR,2020
W141510,Doctor,Updating Notes,3,2024-05-23,AfterEPR,2024
W685189,Admin,Ordering Tests,5,2018-10-23,BeforeEPR,2018
W318681,Nurse,Updating Notes,4,2020-01-25,BeforeEPR,2020
W718136,Nurse,Ordering Tests,5,2019-06-08,BeforeEPR,2019
W287324,Doctor,Ordering Tests,5,2019-01-19,BeforeEPR,2019
W571080,Nurse,Ordering Tests,2,2023-10-20,AfterEPR,2023
W855125,Admin,Documentation,6,2023-03-12,AfterEPR,2023
W312153,Doctor,Ordering Tests,3,2022-10-23,AfterEPR,2022
W260016,Admin,Discharge Summary,11,2022-04-17,AfterEPR,2022
W463547,Admin,Ordering Tests,2,2023-04-14,AfterEPR,2023
W859196,Doctor,Updating Notes,4,2019-10-06,BeforeEPR,2019
W546994,Doctor,Discharge Summary,9,2022-11-11,AfterEPR,2022
W319950,Doctor,Discharge Summary,15,2018-08-23,BeforeEPR,2018
W106265,Doctor,Ordering Tests,3,2023-08-12,AfterEPR,2023
W448653,Admin,Ordering Tests,2,2023-04-11,AfterEPR,2023
W496545,Doctor,Discharge Summary,8,2024-04-08,AfterEPR,2024
W817156,Doctor,Documentation,13,2019-10-14,BeforeEPR,2019
W702393,Nurse,Discharge Summary,9,2023-07-08,AfterEPR,2023
W352981,Nurse,Updating Notes,5,2018-12-07,BeforeEPR,2018
W197903,Admin,Ordering Tests,4,2019-10-02,BeforeEPR,2019
W452314,Nurse,Ordering Tests,2,2023-08-26,AfterEPR,2023
W106708,Doctor,Documentation,10,2021-01-05,BeforeEPR,2021
W562729,Admin,Ordering Tests,5,2018-09-07,BeforeEPR,2018
W513511,Doctor,Documentation,13,2020-10-04,BeforeEPR,2020
W635285,Doctor,Updating Notes,5,2019-06-22,BeforeEPR,2019
W706947,Nurse,Ordering Tests,7,2021-07-20,BeforeEPR,2021
W906031,Admin,Discharge Summary,16,2019-12-01,BeforeEPR,2019
W451654,Doctor,Ordering Tests,4,2018-02-22,BeforeEPR,2018
W947258,Doctor,Documentation,12,2019-05-02,BeforeEPR,2019
W854881,Doctor,Documentation,7,2022-04-08,AfterEPR,2022
W605826,Nurse,Discharge Summary,14,2020-10-05,BeforeEPR,2020
W593184,Admin,Discharge Summary,9,2024-04-04,AfterEPR,2024
W238674,Admin,Discharge Summary,9,2024-08-17,AfterEPR,2024
W805169,Nurse,Updating Notes,3,2022-06-18,AfterEPR,2022
W727773,Admin,Updating Notes,3,2023-04-20,AfterEPR,2023
W278753,Admin,Ordering Tests,5,2018-05-24,BeforeEPR,2018
W546435,Admin,Discharge Summary,11,2019-04-22,BeforeEPR,2019
W529414,Admin,Updating Notes,3,2018-03-22,BeforeEPR,2018
W506509,Doctor,Ordering Tests,2,2024-06-11,AfterEPR,2024
W704789,Admin,Updating Notes,2,2024-12-01,AfterEPR,2024
W230418,Nurse,Discharge Summary,11,2018-07-09,BeforeEPR,2018
W139770,Nurse,Ordering Tests,4,2019-10-07,BeforeEPR,2019
W849364,Nurse,Updating Notes,2,2024-09-02,AfterEPR,2024
W164591,Admin,Ordering Tests,2,2024-04-01,AfterEPR,2024
W650446,Admin,Discharge Summary,8,2022-11-26,AfterEPR,2022
W265995,Admin,Discharge Summary,10,2023-01-19,AfterEPR,2023
W450287,Admin,Discharge Summary,7,2024-04-15,AfterEPR,2024
W125116,Nurse,Documentation,10,2020-10-27,BeforeEPR,2020
W145144,Admin,Updating Notes,2,2022-07-07,AfterEPR,2022
W444849,Admin,Discharge Summary,8,2024-01-14,AfterEPR,2024
W435519,Doctor,Discharge Summary,8,2023-10-02,AfterEPR,2023
W326765,Doctor,Ordering Tests,5,2019-10-21,BeforeEPR,2019
W784026,Nurse,Updating Notes,3,2023-12-26,AfterEPR,2023
W847169,Doctor,Ordering Tests,5,2018-08-08,BeforeEPR,2018
W201742,Doctor,Updating Notes,3,2023-02-13,AfterEPR,2023
W994853,Nurse,Updating Notes,5,2018-09-24,BeforeEPR,2018
W179749,Admin,Updating Notes,2,2022-01-10,AfterEPR,2022
W672225,Admin,Updating Notes,5,2020-03-23,BeforeEPR,2020
W998049,Nurse,Updating Notes,3,2024-05-12,AfterEPR,2024
W170594,Doctor,Discharge Summary,15,2021-05-17,BeforeEPR,2021
W618587,Admin,Discharge Summary,9,2023-08-11,AfterEPR,2023
W929102,Doctor,Updating Notes,4,2020-06-02,BeforeEPR,2020
W446261,Nurse,Discharge Summary,11,2022-12-10,AfterEPR,2022
W837789,Admin,Documentation,13,2018-07-16,BeforeEPR,2018
W203133,Admin,Updating Notes,5,2020-03-16,BeforeEPR,2020
W318912,Nurse,Discharge Summary,12,2018-11-09,BeforeEPR,2018
W511347,Nurse,Ordering Tests,5,2018-07-13,BeforeEPR,2018
W431268,Doctor,Documentation,11,2020-02-07,BeforeEPR,2020
W947873,Admin,Documentation,11,2020-09-07,BeforeEPR,2020
W281376,Nurse,Updating Notes,2,2024-07-09,AfterEPR,2024
W163217,Doctor,Discharge Summary,14,2020-08-01,BeforeEPR,2020
W684867,Doctor,Discharge Summary,9,2023-05-11,AfterEPR,2023
W737594,Admin,Discharge Summary,7,2024-04-20,AfterEPR,2024
W735558,Doctor,Ordering Tests,3,2022-11-03,AfterEPR,2022
W968357,Doctor,Discharge Summary,8,2023-03-13,AfterEPR,2023
W378507,Admin,Documentation,6,2023-12-02,AfterEPR,2023
W501485,Nurse,Updating Notes,3,2024-02-04,AfterEPR,2024
W681875,Admin,Documentation,8,2023-05-13,AfterEPR,2023
W180036,Doctor,Documentation,9,2019-03-22,BeforeEPR,2019
W959531,Admin,Ordering Tests,2,2022-12-07,AfterEPR,2022
W714879,Admin,Documentation,5,2022-08-14,AfterEPR,2022
W540620,Admin,Updating Notes,2,2023-05-11,AfterEPR,2023
W683964,Nurse,Discharge Summary,10,2023-04-18,AfterEPR,2023
W343787,Admin,Documentation,12,2019-08-24,BeforeEPR,2019
W595350,Doctor,Ordering Tests,5,2018-07-19,BeforeEPR,2018
W664038,Admin,Discharge Summary,17,2020-07-14,BeforeEPR,2020
W543104,Doctor,Ordering Tests,7,2020-03-13,BeforeEPR,2020
W108741,Doctor,Discharge Summary,15,2020-09-23,BeforeEPR,2020
W265176,Doctor,Discharge Summary,8,2022-03-01,AfterEPR,2022
W508810,Admin,Updating Notes,2,2022-04-02,AfterEPR,2022
W267851,Doctor,Updating Notes,2,2023-05-01,AfterEPR,2023
W271369,Doctor,Ordering Tests,6,2020-01-07,BeforeEPR,2020
W251574,Admin,Discharge Summary,14,2020-08-26,BeforeEPR,2020
W839701,Nurse,Updating Notes,5,2021-07-05,BeforeEPR,2021
W328024,Nurse,Documentation,12,2021-05-20,BeforeEPR,2021
W694595,Doctor,Ordering Tests,5,2018-11-11,BeforeEPR,2018
W641931,Admin,Documentation,7,2022-10-09,AfterEPR,2022
W942098,Doctor,Updating Notes,3,2018-03-06,BeforeEPR,2018
W822408,Nurse,Documentation,10,2018-02-03,BeforeEPR,2018
W736254,Doctor,Ordering Tests,3,2024-02-18,AfterEPR,2024
W416643,Admin,Updating Notes,2,2023-07-19,AfterEPR,2023
W235619,Admin,Ordering Tests,2,2023-08-01,AfterEPR,2023
W735960,Nurse,Documentation,7,2023-07-24,AfterEPR,2023
W492154,Nurse,Updating Notes,2,2024-03-08,AfterEPR,2024
W509757,Admin,Documentation,11,2021-11-01,BeforeEPR,2021
W130458,Admin,Ordering Tests,2,2024-12-23,AfterEPR,2024
W631268,Nurse,Updating Notes,4,2019-07-24,BeforeEPR,2019
W943038,Nurse,Documentation,12,2021-06-15,BeforeEPR,2021
W132749,Doctor,Ordering Tests,3,2022-07-03,AfterEPR,2022
W802209,Nurse,Ordering Tests,2,2022-10-24,AfterEPR,2022
W112972,Doctor,Discharge Summary,10,2018-05-25,BeforeEPR,2018
W551552,Nurse,Ordering Tests,2,2023-03-07,AfterEPR,2023
W943607,Doctor,Ordering Tests,3,2022-03-18,AfterEPR,2022
W771030,Nurse,Documentation,9,2019-05-07,BeforeEPR,2019
W221593,Doctor,Ordering Tests,2,2023-01-14,AfterEPR,2023
W769352,Nurse,Discharge Summary,8,2024-07-05,AfterEPR,2024
W975154,Doctor,Ordering Tests,2,2022-07-09,AfterEPR,2022
W716240,Doctor,Updating Notes,5,2018-08-19,BeforeEPR,2018
W402492,Doctor,Ordering Tests,7,2018-11-05,BeforeEPR,2018
W122779,Doctor,Ordering Tests,6,2021-05-24,BeforeEPR,2021
W259067,Admin,Documentation,13,2019-07-14,BeforeEPR,2019
W804829,Nurse,Documentation,6,2022-10-14,AfterEPR,2022
W626516,Nurse,Documentation,6,2024-06-04,AfterEPR,2024
W748200,Doctor,Documentation,7,2024-06-21,AfterEPR,2024
W967539,Doctor,Documentation,5,2024-10-08,AfterEPR,2024
W388294,Doctor,Documentation,9,2021-06-04,BeforeEPR,2021
W940991,Nurse,Ordering Tests,5,2021-02-22,BeforeEPR,2021
W556108,Admin,Documentation,6,2022-02-22,AfterEPR,2022
W629346,Doctor,Ordering Tests,3,2022-01-27,AfterEPR,2022
W111350,Admin,Ordering Tests,2,2024-05-07,AfterEPR,2024
W764956,Admin,Discharge Summary,15,2021-06-07,BeforeEPR,2021
W688500,Nurse,Updating Notes,3,2023-06-15,AfterEPR,2023
W916737,Doctor,Ordering Tests,3,2022-01-02,AfterEPR,2022
W104029,Nurse,Updating Notes,4,2021-12-09,BeforeEPR,2021
W595942,Nurse,Documentation,5,2023-05-11,AfterEPR,2023
W369876,Nurse,Discharge Summary,11,2022-02-12,AfterEPR,2022
W645543,Doctor,Updating Notes,3,2024-08-16,AfterEPR,2024
W380179,Nurse,Discharge Summary,8,2022-05-03,AfterEPR,2022
W569199,Admin,Documentation,6,2023-06-15,AfterEPR,2023
W414677,Doctor,Discharge Summary,11,2022-08-12,AfterEPR,2022
W538043,Nurse,Discharge Summary,8,2023-07-04,AfterEPR,2023
W652698,Doctor,Ordering Tests,2,2023-02-06,AfterEPR,2023
W780029,Admin,Ordering Tests,6,2021-08-12,BeforeEPR,2021
W384422,Admin,Ordering Tests,6,2021-10-06,BeforeEPR,2021
W739450,Nurse,Documentation,6,2024-01-15,AfterEPR,2024
W856884,Nurse,Ordering Tests,2,2023-06-26,AfterEPR,2023
W268158,Doctor,Updating Notes,3,2019-11-25,BeforeEPR,2019
W523668,Nurse,Discharge Summary,12,2024-10-12,AfterEPR,2024
W290718,Doctor,Documentation,12,2021-11-17,BeforeEPR,2021
W471359,Admin,Updating Notes,5,2019-07-11,BeforeEPR,2019
W566623,Admin,Documentation,15,2020-01-08,BeforeEPR,2020
W334702,Nurse,Ordering Tests,2,2022-12-24,AfterEPR,2022
W983216,Doctor,Discharge Summary,13,2019-01-04,BeforeEPR,2019
W824831,Nurse,Updating Notes,3,2022-10-25,AfterEPR,2022
W557109,Admin,Updating Notes,3,2023-10-01,AfterEPR,2023
W396754,Nurse,Ordering Tests,2,2024-12-02,AfterEPR,2024
W204000,Admin,Documentation,9,2024-09-12,AfterEPR,2024
W273858,Doctor,Discharge Summary,17,2018-02-15,BeforeEPR,2018
W424205,Nurse,Updating Notes,2,2023-09-04,AfterEPR,2023
W517398,Doctor,Ordering Tests,5,2021-01-26,BeforeEPR,2021
W853343,Nurse,Discharge Summary,10,2024-07-22,AfterEPR,2024
W235901,Nurse,Discharge Summary,11,2024-11-01,AfterEPR,2024
W123571,Doctor,Discharge Summary,9,2023-04-07,AfterEPR,2023
W715902,Doctor,Discharge Summary,14,2018-08-03,BeforeEPR,2018
W768399,Doctor,Ordering Tests,3,2024-11-02,AfterEPR,2024
W728056,Admin,Documentation,13,2018-01-13,BeforeEPR,2018
W359423,Doctor,Documentation,6,2024-01-15,AfterEPR,2024
W235180,Admin,Ordering Tests,4,2018-09-17,BeforeEPR,2018
W675964,Doctor,Updating Notes,5,2020-01-11,BeforeEPR,2020
W769408,Admin,Discharge Summary,14,2021-06-11,BeforeEPR,2021
W668215,Doctor,Documentation,8,2024-07-08,AfterEPR,2024
W345618,Nurse,Discharge Summary,20,2018-03-03,BeforeEPR,2018
W141761,Admin,Discharge Summary,9,2023-10-11,AfterEPR,2023
W386785,Admin,Updating Notes,2,2024-05-19,AfterEPR,2024
W690047,Doctor,Documentation,6,2022-02-02,AfterEPR,2022
W727002,Nurse,Discharge Summary,13,2021-12-24,BeforeEPR,2021
W989477,Doctor,Ordering Tests,5,2021-04-02,BeforeEPR,2021
W519892,Nurse,Updating Notes,2,2024-06-26,AfterEPR,2024
W973823,Admin,Ordering Tests,6,2018-05-11,BeforeEPR,2018
W371429,Nurse,Documentation,6,2024-09-23,AfterEPR,2024
W747684,Nurse,Ordering Tests,4,2018-05-18,BeforeEPR,2018
W804066,Doctor,Documentation,7,2023-06-26,AfterEPR,2023
W893975,Doctor,Documentation,12,2018-03-24,BeforeEPR,2018
W523969,Nurse,Discharge Summary,6,2023-02-25,AfterEPR,2023
W858081,Nurse,Ordering Tests,5,2019-09-27,BeforeEPR,2019
W231735,Nurse,Documentation,4,2022-09-11,AfterEPR,2022
W776378,Doctor,Documentation,6,2024-04-23,AfterEPR,2024
W785530,Doctor,Updating Notes,3,2023-05-08,AfterEPR,2023
W165140,Doctor,Documentation,13,2018-03-24,BeforeEPR,2018
W651662,Admin,Discharge Summary,9,2024-04-20,AfterEPR,2024
W340451,Doctor,Updating Notes,4,2021-06-01,BeforeEPR,2021
W653042,Admin,Ordering Tests,6,2021-05-13,BeforeEPR,2021
W223496,Admin,Ordering Tests,5,2020-02-02,BeforeEPR,2020
W790381,Admin,Ordering Tests,5,2021-03-19,BeforeEPR,2021
W803164,Nurse,Documentation,11,2020-05-14,BeforeEPR,2020
W657178,Nurse,Updating Notes,2,2023-04-15,AfterEPR,2023
W729922,Admin,Updating Notes,4,2018-07-25,BeforeEPR,2018
W736286,Nurse,Ordering Tests,3,2023-06-17,AfterEPR,2023
W246358,Doctor,Updating Notes,2,2022-02-24,AfterEPR,2022
W585941,Admin,Updating Notes,1,2022-01-27,AfterEPR,2022
W507937,Doctor,Updating Notes,4,2020-09-01,BeforeEPR,2020
W633664,Nurse,Ordering Tests,2,2023-12-17,AfterEPR,2023
W134590,Admin,Discharge Summary,9,2023-07-04,AfterEPR,2023
W700996,Admin,Documentation,8,2022-11-05,AfterEPR,2022
W458760,Admin,Ordering Tests,5,2018-09-27,BeforeEPR,2018
W619550,Admin,Updating Notes,5,2019-11-19,BeforeEPR,2019
W132438,Doctor,Documentation,7,2024-03-05,AfterEPR,2024
W340038,Admin,Ordering Tests,2,2022-09-14,AfterEPR,2022
W313132,Doctor,Discharge Summary,14,2020-05-19,BeforeEPR,2020
W770142,Admin,Ordering Tests,2,2023-11-07,AfterEPR,2023
W947933,Doctor,Documentation,6,2023-03-24,AfterEPR,2023
W167850,Doctor,Discharge Summary,9,2022-07-03,AfterEPR,2022
W834182,Admin,Ordering Tests,3,2023-07-23,AfterEPR,2023
W417277,Nurse,Ordering Tests,3,2024-01-08,AfterEPR,2024
W234724,Doctor,Discharge Summary,15,2019-05-17,BeforeEPR,2019
W825277,Admin,Discharge Summary,14,2021-09-02,BeforeEPR,2021
W256444,Doctor,Ordering Tests,3,2024-02-26,AfterEPR,2024
W295294,Nurse,Ordering Tests,5,2020-12-25,BeforeEPR,2020
W148315,Nurse,Discharge Summary,16,2018-07-20,BeforeEPR,2018
W928592,Nurse,Documentation,6,2022-06-22,AfterEPR,2022
W327498,Nurse,Ordering Tests,6,2018-11-13,BeforeEPR,2018
W884141,Doctor,Updating Notes,5,2021-11-21,BeforeEPR,2021
W602339,Doctor,Discharge Summary,9,2023-10-26,AfterEPR,2023
W385487,Nurse,Ordering Tests,2,2024-06-10,AfterEPR,2024
W348464,Admin,Documentation,7,2022-07-06,AfterEPR,2022
W387447,Admin,Ordering Tests,7,2019-01-10,BeforeEPR,2019
W960485,Doctor,Discharge Summary,11,2024-07-02,AfterEPR,2024
W426126,Doctor,Discharge Summary,8,2024-02-13,AfterEPR,2024
W497231,Nurse,Ordering Tests,8,2020-06-12,BeforeEPR,2020
W122601,Admin,Ordering Tests,2,2022-05-04,AfterEPR,2022
W645321,Admin,Documentation,11,2018-09-27,BeforeEPR,2018
W395633,Nurse,Discharge Summary,15,2020-10-17,BeforeEPR,2020
W404050,Nurse,Discharge Summary,7,2022-03-21,AfterEPR,2022
W463324,Nurse,Discharge Summary,10,2022-01-26,AfterEPR,2022
W478103,Doctor,Ordering Tests,3,2022-09-17,AfterEPR,2022
W330759,Admin,Documentation,10,2020-06-05,BeforeEPR,2020
W264014,Nurse,Updating Notes,5,2019-07-17,BeforeEPR,2019
W346563,Admin,Documentation,6,2024-12-01,AfterEPR,2024
W143130,Nurse,Documentation,8,2024-05-13,AfterEPR,2024
W659495,Doctor,Ordering Tests,3,2023-12-02,AfterEPR,2023
W499641,Admin,Updating Notes,2,2023-04-20,AfterEPR,2023
W339492,Nurse,Updating Notes,2,2022-09-06,AfterEPR,2022
W294055,Doctor,Discharge Summary,9,2022-03-07,AfterEPR,2022
W207538,Doctor,Updating Notes,6,2020-02-03,BeforeEPR,2020
W304067,Nurse,Discharge Summary,10,2023-03-24,AfterEPR,2023
W269828,Admin,Ordering Tests,2,2024-09-04,AfterEPR,2024
W273852,Admin,Ordering Tests,6,2018-08-17,BeforeEPR,2018
W235195,Nurse,Updating Notes,3,2024-02-17,AfterEPR,2024
W104305,Nurse,Documentation,10,2018-12-10,BeforeEPR,2018
W426757,Nurse,Documentation,6,2023-11-01,AfterEPR,2023
W117071,Nurse,Ordering Tests,3,2022-09-03,AfterEPR,2022
W564997,Doctor,Discharge Summary,10,2018-05-25,BeforeEPR,2018
W470822,Doctor,Documentation,7,2023-09-17,AfterEPR,2023
W361668,Nurse,Discharge Summary,18,2019-11-05,BeforeEPR,2019
W380064,Nurse,Ordering Tests,4,2019-01-19,BeforeEPR,2019
W781049,Admin,Ordering Tests,4,2021-07-17,BeforeEPR,2021
W382917,Nurse,Documentation,7,2022-11-08,AfterEPR,2022
W369643,Admin,Updating Notes,2,2023-06-09,AfterEPR,2023
W369086,Nurse,Updating Notes,2,2024-11-17,AfterEPR,2024
W451185,Admin,Updating Notes,6,2018-12-03,BeforeEPR,2018
W389104,Nurse,Updating Notes,2,2023-08-25,AfterEPR,2023
W151584,Nurse,Discharge Summary,16,2021-12-16,BeforeEPR,2021
W953897,Nurse,Discharge Summary,13,2020-05-18,BeforeEPR,2020
W223708,Nurse,Ordering Tests,6,2018-07-10,BeforeEPR,2018
W886320,Admin,Documentation,12,2019-01-18,BeforeEPR,2019
W120126,Admin,Updating Notes,2,2023-06-01,AfterEPR,2023
W900727,Doctor,Updating Notes,5,2018-10-14,BeforeEPR,2018
W195282,Nurse,Discharge Summary,13,2021-02-09,BeforeEPR,2021
W170501,Nurse,Documentation,10,2021-05-11,BeforeEPR,2021
W705863,Nurse,Ordering Tests,6,2019-08-22,BeforeEPR,2019
W211990,Admin,Updating Notes,3,2024-07-11,AfterEPR,2024
W314620,Admin,Documentation,6,2024-06-06,AfterEPR,2024
W705447,Admin,Updating Notes,2,2022-05-04,AfterEPR,2022
W353223,Admin,Updating Notes,2,2022-10-15,AfterEPR,2022
W491391,Doctor,Ordering Tests,2,2023-02-02,AfterEPR,2023
W989514,Nurse,Ordering Tests,3,2022-03-17,AfterEPR,2022
W763657,Nurse,Discharge Summary,14,2021-04-08,BeforeEPR,2021
W170115,Doctor,Discharge Summary,8,2023-02-02,AfterEPR,2023
W638561,Doctor,Ordering Tests,6,2021-04-06,BeforeEPR,2021
W719591,Doctor,Documentation,15,2020-10-02,BeforeEPR,2020
W974488,Doctor,Documentation,16,2018-01-26,BeforeEPR,2018
W374386,Doctor,Discharge Summary,10,2024-02-16,AfterEPR,2024
W401182,Nurse,Updating Notes,3,2024-09-10,AfterEPR,2024
W424818,Admin,Ordering Tests,5,2018-01-02,BeforeEPR,2018
W378951,Doctor,Updating Notes,3,2022-09-12,AfterEPR,2022
W200076,Doctor,Updating Notes,3,2024-12-03,AfterEPR,2024
W351543,Doctor,Documentation,6,2023-06-18,AfterEPR,2023
W854466,Doctor,Ordering Tests,5,2019-07-24,BeforeEPR,2019
W226309,Nurse,Updating Notes,4,2019-03-25,BeforeEPR,2019
W751691,Admin,Ordering Tests,2,2024-02-13,AfterEPR,2024
W106329,Admin,Documentation,12,2019-02-22,BeforeEPR,2019
W677422,Nurse,Ordering Tests,5,2019-02-12,BeforeEPR,2019
W914629,Nurse,Documentation,12,2018-10-17,BeforeEPR,2018
W358208,Admin,Ordering Tests,2,2022-11-22,AfterEPR,2022
W668310,Nurse,Ordering Tests,5,2021-10-14,BeforeEPR,2021
W699293,Admin,Ordering Tests,3,2023-08-02,AfterEPR,2023
W704292,Doctor,Documentation,5,2024-07-01,AfterEPR,2024
W811517,Doctor,Ordering Tests,3,2023-01-05,AfterEPR,2023
W301280,Doctor,Documentation,7,2022-09-01,AfterEPR,2022
W756908,Doctor,Documentation,7,2022-11-14,AfterEPR,2022
W120682,Admin,Discharge Summary,8,2023-08-03,AfterEPR,2023
W189776,Doctor,Updating Notes,3,2023-11-19,AfterEPR,2023
