WorkflowID,StaffRole,TaskName,TimeMinutes,Date,EPRPeriod
W849364,Nurse,Updating Notes,2,2024-09-02,AfterEPR
W164591,Admin,Ordering Tests,2,2024-04-01,AfterEPR
W650446,Admin,Discharge Summary,8,2022-11-26,AfterEPR
W265995,Admin,Discharge Summary,10,2023-01-19,AfterEPR
W450287,Admin,Discharge Summary,7,2024-04-15,AfterEPR
W125116,Nurse,Documentation,10,2020-10-27,BeforeEPR
W145144,Admin,Updating Notes,2,2022-07-07,AfterEPR
W444849,Admin,Discharge Summary,8,2024-01-14,AfterEPR
W435519,Doctor,Discharge Summary,8,2023-10-02,AfterEPR
W326765,Doctor,Ordering Tests,5,2019-10-21,BeforeEPR
W784026,Nurse,Updating Notes,3,2023-12-26,AfterEPR
W847169,Doctor,Ordering Tests,5,2018-08-08,BeforeEPR
W201742,Doctor,Updating Notes,3,2023-02-13,AfterEPR
W994853,Nurse,Updating Notes,5,2018-09-24,BeforeEPR
W179749,Admin,Updating Notes,2,2022-01-10,AfterEPR
W672225,Admin,Updating Notes,5,2020-03-23,BeforeEPR
W998049,Nurse,Updating Notes,3,2024-05-12,AfterEPR
W170594,Doctor,Discharge Summary,15,2021-05-17,BeforeEPR
W618587,Admin,Discharge Summary,9,2023-08-11,AfterEPR
W929102,Doctor,Updating Notes,4,2020-06-02,BeforeEPR
W446261,Nurse,Discharge Summary,11,2022-12-10,AfterEPR
W837789,Admin,Documentation,13,2018-07-16,BeforeEPR
W203133,Admin,Updating Notes,5,2020-03-16,BeforeEPR
W318912,Nurse,Discharge Summary,12,2018-11-09,BeforeEPR
W511347,Nurse,Ordering Tests,5,2018-07-13,BeforeEPR
W431268,Doctor,Documentation,11,2020-02-07,BeforeEPR
W947873,Admin,Documentation,11,2020-09-07,BeforeEPR
W281376,Nurse,Updating Notes,2,2024-07-09,AfterEPR
W163217,Doctor,Discharge Summary,14,2020-08-01,BeforeEPR
W684867,Doctor,Discharge Summary,9,2023-05-11,AfterEPR
W737594,Admin,Discharge Summary,7,2024-04-20,AfterEPR
W735558,Doctor,Ordering Tests,3,2022-11-03,AfterEPR
W968357,Doctor,Discharge Summary,8,2023-03-13,AfterEPR
W378507,Admin,Documentation,6,2023-12-02,AfterEPR
W501485,Nurse,Updating Notes,3,2024-02-04,AfterEPR
W681875,Admin,Documentation,8,2023-05-13,AfterEPR
W180036,Doctor,Documentation,9,2019-03-22,BeforeEPR
W959531,Admin,Ordering Tests,2,2022-12-07,AfterEPR
W714879,Admin,Documentation,5,2022-08-14,AfterEPR
W540620,Admin,Updating Notes,2,2023-05-11,AfterEPR
W683964,Nurse,Discharge Summary,10,2023-04-18,AfterEPR
W343787,Admin,Documentation,12,2019-08-24,BeforeEPR
W595350,Doctor,Ordering Tests,5,2018-07-19,BeforeEPR
W664038,Admin,Discharge Summary,17,2020-07-14,BeforeEPR
W543104,Doctor,Ordering Tests,7,2020-03-13,BeforeEPR
W108741,Doctor,Discharge Summary,15,2020-09-23,BeforeEPR
W265176,Doctor,Discharge Summary,8,2022-03-01,AfterEPR
W508810,Admin,Updating Notes,2,2022-04-02,AfterEPR
W267851,Doctor,Updating Notes,2,2023-05-01,AfterEPR
W271369,Doctor,Ordering Tests,6,2020-01-07,BeforeEPR
W251574,Admin,Discharge Summary,14,2020-08-26,BeforeEPR
W839701,Nurse,Updating Notes,5,2021-07-05,BeforeEPR
W328024,Nurse,Documentation,12,2021-05-20,BeforeEPR
W694595,Doctor,Ordering Tests,5,2018-11-11,BeforeEPR
W641931,Admin,Documentation,7,2022-10-09,AfterEPR
W942098,Doctor,Updating Notes,3,2018-03-06,BeforeEPR
W822408,Nurse,Documentation,10,2018-02-03,BeforeEPR
W736254,Doctor,Ordering Tests,3,2024-02-18,AfterEPR
W416643,Admin,Updating Notes,2,2023-07-19,AfterEPR
W235619,Admin,Ordering Tests,2,2023-08-01,AfterEPR
W735960,Nurse,Documentation,7,2023-07-24,AfterEPR
W492154,Nurse,Updating Notes,2,2024-03-08,AfterEPR
W509757,Admin,Documentation,11,2021-11-01,BeforeEPR
W130458,Admin,Ordering Tests,2,2024-12-23,AfterEPR
W631268,Nurse,Updating Notes,4,2019-07-24,BeforeEPR
W943038,Nurse,Documentation,12,2021-06-15,BeforeEPR
W132749,Doctor,Ordering Tests,3,2022-07-03,AfterEPR
W802209,Nurse,Ordering Tests,2,2022-10-24,AfterEPR
W112972,Doctor,Discharge Summary,10,2018-05-25,BeforeEPR
W551552,Nurse,Ordering Tests,2,2023-03-07,AfterEPR
W943607,Doctor,Ordering Tests,3,2022-03-18,AfterEPR
W771030,Nurse,Documentation,9,2019-05-07,BeforeEPR
W221593,Doctor,Ordering Tests,2,2023-01-14,AfterEPR
W769352,Nurse,Discharge Summary,8,2024-07-05,AfterEPR
W975154,Doctor,Ordering Tests,2,2022-07-09,AfterEPR
W716240,Doctor,Updating Notes,5,2018-08-19,BeforeEPR
W402492,Doctor,Ordering Tests,7,2018-11-05,BeforeEPR
W122779,Doctor,Ordering Tests,6,2021-05-24,BeforeEPR
W259067,Admin,Documentation,13,2019-07-14,BeforeEPR
W804829,Nurse,Documentation,6,2022-10-14,AfterEPR
W626516,Nurse,Documentation,6,2024-06-04,AfterEPR
W748200,Doctor,Documentation,7,2024-06-21,AfterEPR
W967539,Doctor,Documentation,5,2024-10-08,AfterEPR
W388294,Doctor,Documentation,9,2021-06-04,BeforeEPR
W940991,Nurse,Ordering Tests,5,2021-02-22,BeforeEPR
W556108,Admin,Documentation,6,2022-02-22,AfterEPR
W629346,Doctor,Ordering Tests,3,2022-01-27,AfterEPR
W111350,Admin,Ordering Tests,2,2024-05-07,AfterEPR
W764956,Admin,Discharge Summary,15,2021-06-07,BeforeEPR
W688500,Nurse,Updating Notes,3,2023-06-15,AfterEPR
W916737,Doctor,Ordering Tests,3,2022-01-02,AfterEPR
W104029,Nurse,Updating Notes,4,2021-12-09,BeforeEPR
W595942,Nurse,Documentation,5,2023-05-11,AfterEPR
W369876,Nurse,Discharge Summary,11,2022-02-12,AfterEPR
W645543,Doctor,Updating Notes,3,2024-08-16,AfterEPR
W380179,Nurse,Discharge Summary,8,2022-05-03,AfterEPR
W569199,Admin,Documentation,6,2023-06-15,AfterEPR
W414677,Doctor,Discharge Summary,11,2022-08-12,AfterEPR
W538043,Nurse,Discharge Summary,8,2023-07-04,AfterEPR
W652698,Doctor,Ordering Tests,2,2023-02-06,AfterEPR
W780029,Admin,Ordering Tests,6,2021-08-12,BeforeEPR
W384422,Admin,Ordering Tests,6,2021-10-06,BeforeEPR
W739450,Nurse,Documentation,6,2024-01-15,AfterEPR
W856884,Nurse,Ordering Tests,2,2023-06-26,AfterEPR
W268158,Doctor,Updating Notes,3,2019-11-25,BeforeEPR
W523668,Nurse,Discharge Summary,12,2024-10-12,AfterEPR
W290718,Doctor,Documentation,12,2021-11-17,BeforeEPR
W471359,Admin,Updating Notes,5,2019-07-11,BeforeEPR
W566623,Admin,Documentation,15,2020-01-08,BeforeEPR
W334702,Nurse,Ordering Tests,2,2022-12-24,AfterEPR
W983216,Doctor,Discharge Summary,13,2019-01-04,BeforeEPR
W824831,Nurse,Updating Notes,3,2022-10-25,AfterEPR
W557109,Admin,Updating Notes,3,2023-10-01,AfterEPR
W396754,Nurse,Ordering Tests,2,2024-12-02,AfterEPR
W204000,Admin,Documentation,9,2024-09-12,AfterEPR
W273858,Doctor,Discharge Summary,17,2018-02-15,BeforeEPR
W424205,Nurse,Updating Notes,2,2023-09-04,AfterEPR
W517398,Doctor,Ordering Tests,5,2021-01-26,BeforeEPR
W853343,Nurse,Discharge Summary,10,2024-07-22,AfterEPR
W235901,Nurse,Discharge Summary,11,2024-11-01,AfterEPR
W123571,Doctor,Discharge Summary,9,2023-04-07,AfterEPR
W715902,Doctor,Discharge Summary,14,2018-08-03,BeforeEPR
W768399,Doctor,Ordering Tests,3,2024-11-02,AfterEPR
W728056,Admin,Documentation,13,2018-01-13,BeforeEPR
W359423,Doctor,Documentation,6,2024-01-15,AfterEPR
W235180,Admin,Ordering Tests,4,2018-09-17,BeforeEPR
W675964,Doctor,Updating Notes,5,2020-01-11,BeforeEPR
W769408,Admin,Discharge Summary,14,2021-06-11,BeforeEPR
W668215,Doctor,Documentation,8,2024-07-08,AfterEPR
W345618,Nurse,Discharge Summary,20,2018-03-03,BeforeEPR
W141761,Admin,Discharge Summary,9,2023-10-11,AfterEPR
W386785,Admin,Updating Notes,2,2024-05-19,AfterEPR
W690047,Doctor,Documentation,6,2022-02-02,AfterEPR
W727002,Nurse,Discharge Summary,13,2021-12-24,BeforeEPR
W989477,Doctor,Ordering Tests,5,2021-04-02,BeforeEPR
W519892,Nurse,Updating Notes,2,2024-06-26,AfterEPR
W973823,Admin,Ordering Tests,6,2018-05-11,BeforeEPR
W371429,Nurse,Documentation,6,2024-09-23,AfterEPR
W747684,Nurse,Ordering Tests,4,2018-05-18,BeforeEPR
W804066,Doctor,Documentation,7,2023-06-26,AfterEPR
W893975,Doctor,Documentation,12,2018-03-24,BeforeEPR
W523969,Nurse,Discharge Summary,6,2023-02-25,AfterEPR
W858081,Nurse,Ordering Tests,5,2019-09-27,BeforeEPR
W231735,Nurse,Documentation,4,2022-09-11,AfterEPR
W776378,Doctor,Documentation,6,2024-04-23,AfterEPR
W785530,Doctor,Updating Notes,3,2023-05-08,AfterEPR
W165140,Doctor,Documentation,13,2018-03-24,BeforeEPR
W651662,Admin,Discharge Summary,9,2024-04-20,AfterEPR
W340451,Doctor,Updating Notes,4,2021-06-01,BeforeEPR
W653042,Admin,Ordering Tests,6,2021-05-13,BeforeEPR
W223496,Admin,Ordering Tests,5,2020-02-02,BeforeEPR
W790381,Admin,Ordering Tests,5,2021-03-19,BeforeEPR
W803164,Nurse,Documentation,11,2020-05-14,BeforeEPR
W657178,Nurse,Updating Notes,2,2023-04-15,AfterEPR
W729922,Admin,Updating Notes,4,2018-07-25,BeforeEPR
W736286,Nurse,Ordering Tests,3,2023-06-17,AfterEPR
W246358,Doctor,Updating Notes,2,2022-02-24,AfterEPR
W585941,Admin,Updating Notes,1,2022-01-27,AfterEPR
W507937,Doctor,Updating Notes,4,2020-09-01,BeforeEPR
W633664,Nurse,Ordering Tests,2,2023-12-17,AfterEPR
W134590,Admin,Discharge Summary,9,2023-07-04,AfterEPR
W700996,Admin,Documentation,8,2022-11-05,AfterEPR
W458760,Admin,Ordering Tests,5,2018-09-27,BeforeEPR
W619550,Admin,Updating Notes,5,2019-11-19,BeforeEPR
W132438,Doctor,Documentation,7,2024-03-05,AfterEPR
W340038,Admin,Ordering Tests,2,2022-09-14,AfterEPR
W313132,Doctor,Discharge Summary,14,2020-05-19,BeforeEPR
W770142,Admin,Ordering Tests,2,2023-11-07,AfterEPR
W947933,Doctor,Documentation,6,2023-03-24,AfterEPR
W167850,Doctor,Discharge Summary,9,2022-07-03,AfterEPR
W834182,Admin,Ordering Tests,3,2023-07-23,AfterEPR
W417277,Nurse,Ordering Tests,3,2024-01-08,AfterEPR
W234724,Doctor,Discharge Summary,15,2019-05-17,BeforeEPR
W825277,Admin,Discharge Summary,14,2021-09-02,BeforeEPR
W256444,Doctor,Ordering Tests,3,2024-02-26,AfterEPR
W295294,Nurse,Ordering Tests,5,2020-12-25,BeforeEPR
W148315,Nurse,Discharge Summary,16,2018-07-20,BeforeEPR
W928592,Nurse,Documentation,6,2022-06-22,AfterEPR
W327498,Nurse,Ordering Tests,6,2018-11-13,BeforeEPR
W884141,Doctor,Updating Notes,5,2021-11-21,BeforeEPR
W602339,Doctor,Discharge Summary,9,2023-10-26,AfterEPR
W385487,Nurse,Ordering Tests,2,2024-06-10,AfterEPR
W348464,Admin,Documentation,7,2022-07-06,AfterEPR
W387447,Admin,Ordering Tests,7,2019-01-10,BeforeEPR
W960485,Doctor,Discharge Summary,11,2024-07-02,AfterEPR
W426126,Doctor,Discharge Summary,8,2024-02-13,AfterEPR
W497231,Nurse,Ordering Tests,8,2020-06-12,BeforeEPR
W122601,Admin,Ordering Tests,2,2022-05-04,AfterEPR
W645321,Admin,Documentation,11,2018-09-27,BeforeEPR
W395633,Nurse,Discharge Summary,15,2020-10-17,BeforeEPR
W404050,Nurse,Discharge Summary,7,2022-03-21,AfterEPR
W463324,Nurse,Discharge Summary,10,2022-01-26,AfterEPR
W478103,Doctor,Ordering Tests,3,2022-09-17,AfterEPR
W330759,Admin,Documentation,10,2020-06-05,BeforeEPR
W264014,Nurse,Updating Notes,5,2019-07-17,BeforeEPR
W346563,Admin,Documentation,6,2024-12-01,AfterEPR
W143130,Nurse,Documentation,8,2024-05-13,AfterEPR
W659495,Doctor,Ordering Tests,3,2023-12-02,AfterEPR
W499641,Admin,Updating Notes,2,2023-04-20,AfterEPR
W339492,Nurse,Updating Notes,2,2022-09-06,AfterEPR
W294055,Doctor,Discharge Summary,9,2022-03-07,AfterEPR
W207538,Doctor,Updating Notes,6,2020-02-03,BeforeEPR
W304067,Nurse,Discharge Summary,10,2023-03-24,AfterEPR
W269828,Admin,Ordering Tests,2,2024-09-04,AfterEPR
W273852,Admin,Ordering Tests,6,2018-08-17,BeforeEPR
W235195,Nurse,Updating Notes,3,2024-02-17,AfterEPR
W104305,Nurse,Documentation,10,2018-12-10,BeforeEPR
W426757,Nurse,Documentation,6,2023-11-01,AfterEPR
W117071,Nurse,Ordering Tests,3,2022-09-03,AfterEPR
W564997,Doctor,Discharge Summary,10,2018-05-25,BeforeEPR
W470822,Doctor,Documentation,7,2023-09-17,AfterEPR
W361668,Nurse,Discharge Summary,18,2019-11-05,BeforeEPR
W380064,Nurse,Ordering Tests,4,2019-01-19,BeforeEPR
W781049,Admin,Ordering Tests,4,2021-07-17,BeforeEPR
W382917,Nurse,Documentation,7,2022-11-08,AfterEPR
W369643,Admin,Updating Notes,2,2023-06-09,AfterEPR
W369086,Nurse,Updating Notes,2,2024-11-17,AfterEPR
W451185,Admin,Updating Notes,6,2018-12-03,BeforeEPR
W389104,Nurse,Updating Notes,2,2023-08-25,AfterEPR
W151584,Nurse,Discharge Summary,16,2021-12-16,BeforeEPR
W953897,Nurse,Discharge Summary,13,2020-05-18,BeforeEPR
W223708,Nurse,Ordering Tests,6,2018-07-10,BeforeEPR
W886320,Admin,Documentation,12,2019-01-18,BeforeEPR
W120126,Admin,Updating Notes,2,2023-06-01,AfterEPR
W900727,Doctor,Updating Notes,5,2018-10-14,BeforeEPR
W195282,Nurse,Discharge Summary,13,2021-02-09,BeforeEPR
W170501,Nurse,Documentation,10,2021-05-11,BeforeEPR
W705863,Nurse,Ordering Tests,6,2019-08-22,BeforeEPR
W211990,Admin,Updating Notes,3,2024-07-11,AfterEPR
W314620,Admin,Documentation,6,2024-06-06,AfterEPR
W705447,Admin,Updating Notes,2,2022-05-04,AfterEPR
W353223,Admin,Updating Notes,2,2022-10-15,AfterEPR
W491391,Doctor,Ordering Tests,2,2023-02-02,AfterEPR
W989514,Nurse,Ordering Tests,3,2022-03-17,AfterEPR
W763657,Nurse,Discharge Summary,14,2021-04-08,BeforeEPR
W170115,Doctor,Discharge Summary,8,2023-02-02,AfterEPR
W638561,Doctor,Ordering Tests,6,2021-04-06,BeforeEPR
W719591,Doctor,Documentation,15,2020-10-02,BeforeEPR
W974488,Doctor,Documentation,16,2018-01-26,BeforeEPR
W374386,Doctor,Discharge Summary,10,2024-02-16,AfterEPR
W401182,Nurse,Updating Notes,3,2024-09-10,AfterEPR
W424818,Admin,Ordering Tests,5,2018-01-02,BeforeEPR
W378951,Doctor,Updating Notes,3,2022-09-12,AfterEPR
W200076,Doctor,Updating Notes,3,2024-12-03,AfterEPR
W351543,Doctor,Documentation,6,2023-06-18,AfterEPR
W854466,Doctor,Ordering Tests,5,2019-07-24,BeforeEPR
W226309,Nurse,Updating Notes,4,2019-03-25,BeforeEPR
W751691,Admin,Ordering Tests,2,2024-02-13,AfterEPR
W106329,Admin,Documentation,12,2019-02-22,BeforeEPR
W677422,Nurse,Ordering Tests,5,2019-02-12,BeforeEPR
W914629,Nurse,Documentation,12,2018-10-17,BeforeEPR
W358208,Admin,Ordering Tests,2,2022-11-22,AfterEPR
W668310,Nurse,Ordering Tests,5,2021-10-14,BeforeEPR
W699293,Admin,Ordering Tests,3,2023-08-02,AfterEPR
W704292,Doctor,Documentation,5,2024-07-01,AfterEPR
W811517,Doctor,Ordering Tests,3,2023-01-05,AfterEPR
W301280,Doctor,Documentation,7,2022-09-01,AfterEPR
W756908,Doctor,Documentation,7,2022-11-14,AfterEPR
W120682,Admin,Discharge Summary,8,2023-08-03,AfterEPR
W189776,Doctor,Updating Notes,3,2023-11-19,AfterEPR
W682548,Doctor,Updating Notes,3,2024-04-08,AfterEPR
W784346,Admin,Documentation,10,2019-02-26,BeforeEPR
W507598,Doctor,Updating Notes,3,2022-07-13,AfterEPR
W859843,Doctor,Documentation,6,2022-04-22,AfterEPR
W695919,Nurse,Discharge Summary,16,2018-07-05,BeforeEPR
W147707,Doctor,Discharge Summary,15,2021-02-23,BeforeEPR
W441244,Nurse,Updating Notes,5,2021-10-02,BeforeEPR
W956186,Admin,Documentation,15,2018-10-20,BeforeEPR
W126694,Admin,Discharge Summary,11,2024-08-02,AfterEPR
W866107,Nurse,Ordering Tests,4,2021-12-13,BeforeEPR
W933355,Doctor,Documentation,8,2022-05-08,AfterEPR
W751862,Admin,Discharge Summary,18,2021-12-16,BeforeEPR
W636482,Doctor,Updating Notes,2,2022-07-13,AfterEPR
W534269,Admin,Ordering Tests,6,2021-03-15,BeforeEPR
W807567,Doctor,Documentation,13,2019-05-07,BeforeEPR
W562363,Admin,Updating Notes,4,2021-03-20,BeforeEPR
W373131,Admin,Ordering Tests,5,2021-05-04,BeforeEPR
W534252,Nurse,Updating Notes,2,2023-06-01,AfterEPR
W854346,Admin,Discharge Summary,13,2021-06-10,BeforeEPR
W737186,Doctor,Updating Notes,2,2022-04-23,AfterEPR
W435510,Admin,Ordering Tests,3,2024-06-19,AfterEPR
W856170,Admin,Ordering Tests,5,2018-04-08,BeforeEPR
W446267,Admin,Ordering Tests,3,2022-09-05,AfterEPR
W882419,Nurse,Documentation,10,2020-08-10,BeforeEPR
W844042,Doctor,Ordering Tests,3,2022-04-05,AfterEPR
W254321,Admin,Documentation,8,2024-04-13,AfterEPR
W909100,Doctor,Updating Notes,3,2024-04-24,AfterEPR
W565028,Doctor,Ordering Tests,5,2020-10-12,BeforeEPR
W996781,Nurse,Discharge Summary,17,2020-08-04,BeforeEPR
W697803,Nurse,Discharge Summary,9,2022-03-10,AfterEPR
W244617,Nurse,Discharge Summary,9,2024-09-24,AfterEPR
W675321,Admin,Discharge Summary,8,2023-12-14,AfterEPR
W151897,Nurse,Documentation,9,2018-03-01,BeforeEPR
W528135,Admin,Updating Notes,3,2022-07-05,AfterEPR
W737238,Nurse,Ordering Tests,1,2022-05-27,AfterEPR
W895732,Admin,Ordering Tests,5,2019-07-07,BeforeEPR
W775495,Nurse,Ordering Tests,2,2022-01-13,AfterEPR
