Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MARCH-2025,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2374,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2683,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6650,0,3358,405,0,154,2977,0,47,160,0,3,285,45,2305,0,0,1183
MSitAE-MARCH-2025,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9281,0,0,12,0,0,1838,0,0,0,0,0,229,0,3249,0,0,530
MSitAE-MARCH-2025,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3656,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,16307,0,0,0,0,0,2976,0,0,0,0,0,885,20,2750,0,0,209
MSitAE-MARCH-2025,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,8224,0,0,419,0,0,184,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,7113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,0,0,1122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5137,0,993,354,0,21,1314,0,1,57,0,0,386,23,1150,0,0,315
MSitAE-MARCH-2025,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10472,0,0,0,0,0,3739,0,0,0,0,0,487,688,3223,0,0,923
MSitAE-MARCH-2025,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,1048,0,0,28,0,0,10,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,13340,0,11173,0,0,0,4452,0,527,0,0,0,524,1105,3876,0,101,1664
MSitAE-MARCH-2025,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4551,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,1942,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,3105,0,0,24,0,0,16,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2413,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11463,1338,6275,786,0,1488,4812,25,239,347,0,64,316,2,4487,12,0,1547
MSitAE-MARCH-2025,RDE,NHS ENGLAND EAST OF ENGLAND ,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,11802,0,14870,1315,0,693,5648,0,555,0,0,0,976,733,6306,0,386,1212
MSitAE-MARCH-2025,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11231,0,0,0,0,0,1927,0,0,0,0,0,206,22,1842,0,0,349
MSitAE-MARCH-2025,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,10757,0,0,0,0,0,3695,0,0,0,0,0,528,231,2884,0,0,678
MSitAE-MARCH-2025,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,8775,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,G0Q0L,NHS ENGLAND LONDON,BARKING HOSPITAL UTC,0,0,2910,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,K6K0R,NHS ENGLAND LONDON,HAROLD WOOD POLYCLINIC UTC,0,0,2364,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5772,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MSitAE-MARCH-2025,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,7172,0,0,2435,0,0,122,0,0,7,0,0,0,0,0,0
MSitAE-MARCH-2025,Y07709,NHS ENGLAND SOUTH EAST ,READING URGENT CARE CENTRE,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1730,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,913,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7332,0,8910,0,0,0,3271,0,273,0,0,0,273,406,2435,0,278,322
MSitAE-MARCH-2025,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7136,0,3238,0,0,93,4139,0,64,0,0,5,604,541,2236,0,0,1348
MSitAE-MARCH-2025,RJZ,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,15710,0,9620,60,0,1100,6788,0,563,15,0,0,1441,926,3585,0,0,366
MSitAE-MARCH-2025,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,6143,1157,158,165,0,0,2759,0,0,44,0,0,415,293,1461,0,0,151
MSitAE-MARCH-2025,RQW,NHS ENGLAND EAST OF ENGLAND ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8544,0,2131,0,0,665,3474,0,0,0,0,0,401,89,1795,0,0,277
MSitAE-MARCH-2025,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,13805,0,6203,0,0,0,6738,0,71,0,0,0,925,731,2693,0,0,861
MSitAE-MARCH-2025,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8950,0,11021,432,0,363,4016,0,71,148,0,0,499,549,2743,0,0,1747
MSitAE-MARCH-2025,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,9372,0,0,357,0,0,393,0,0,41,0,0,0,0,0,0
MSitAE-MARCH-2025,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5780,0,0,287,0,0,721,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5679,0,0,271,0,0,146,0,0,1,0,0,0,0,0,0
MSitAE-MARCH-2025,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
MSitAE-MARCH-2025,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,6629,0,12512,0,0,0,3494,0,709,0,0,0,754,423,2613,0,51,1130
MSitAE-MARCH-2025,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7416,0,1608,0,0,0,3330,0,0,0,0,0,582,457,1676,0,0,504
MSitAE-MARCH-2025,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,8165,0,798,127,0,0,1055,0,0,0,0,0,215,69,2117,0,0,300
MSitAE-MARCH-2025,RJ6,NHS ENGLAND LONDON,CROYDON HEALTH SERVICES NHS TRUST,13255,0,5119,0,0,0,3289,0,0,0,0,0,304,701,1214,0,0,118
MSitAE-MARCH-2025,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,12866,0,8567,189,0,914,3895,0,213,38,0,1,982,472,5766,0,0,1046
MSitAE-MARCH-2025,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13584,0,0,364,0,0,3789,0,0,0,0,0,385,80,1443,0,0,276
MSitAE-MARCH-2025,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7561,0,9440,0,0,1728,3994,0,509,0,0,71,276,7,2678,0,127,2448
MSitAE-MARCH-2025,RVV,NHS ENGLAND SOUTH EAST ,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,12820,0,13288,0,0,0,6228,0,414,0,0,0,340,1326,2819,0,528,549
MSitAE-MARCH-2025,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,3122,0,0,0,0,0,64,0,0,0,0,0,0,0,0,140
MSitAE-MARCH-2025,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,14217,0,0,0,0,0,405,0,0,0,0,0,0,0,0,44
MSitAE-MARCH-2025,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,18303,0,2372,824,0,219,3116,0,26,91,0,0,793,25,5241,0,0,979
MSitAE-MARCH-2025,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
MSitAE-MARCH-2025,RY2,NHS ENGLAND NORTH WEST ,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,3040,0,0,170,0,0,100,0,0,6,0,0,0,0,0,0
MSitAE-MARCH-2025,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1927,0,0,12,0,0,16,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,5414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,RA7,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,16099,2536,0,0,0,0,5748,207,0,0,0,0,1161,534,5388,5,0,1558
MSitAE-MARCH-2025,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,2006,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5892,232,0,541,0,0,2541,0,0,0,0,0,440,223,1521,0,0,521
MSitAE-MARCH-2025,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6746,0,1246,0,0,0,3185,0,0,0,0,0,285,128,1909,0,0,373
MSitAE-MARCH-2025,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8545,0,5344,706,0,144,3119,0,392,254,0,0,897,0,2260,0,0,446
MSitAE-MARCH-2025,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,22632,945,13202,0,0,0,9616,1,306,0,0,0,1614,437,6243,0,0,120
MSitAE-MARCH-2025,REP,NHS ENGLAND NORTH WEST ,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1520,0,0,112,0,0,176,0,0,0,0,0,0,0,118,0,14
MSitAE-MARCH-2025,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,9434,0,0,0,0,0,3256,0,0,0,0,0,649,35,1982,0,0,218
MSitAE-MARCH-2025,RJE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,14701,541,8704,774,0,693,7899,0,683,390,0,29,1086,851,5761,0,0,2936
MSitAE-MARCH-2025,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5250,0,2446,0,0,0,2764,0,358,0,0,0,253,650,1598,0,0,1288
MSitAE-MARCH-2025,RKB,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,12494,1602,6644,0,0,0,5333,133,297,0,0,0,96,14,1598,31,55,638
MSitAE-MARCH-2025,RMC,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,8326,0,3871,94,0,41,3310,0,130,32,0,1,555,272,2574,0,116,1023
MSitAE-MARCH-2025,RMP,NHS ENGLAND NORTH WEST ,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,8845,0,3037,359,0,75,3813,0,20,0,0,0,549,146,1654,0,0,253
MSitAE-MARCH-2025,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,5789,0,0,0,0,0,92,0,0,0,0,0,0,0,6,0,202
MSitAE-MARCH-2025,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1400,0,0,0,0,0,6,0,0,0,0,0,0,0,3,493
MSitAE-MARCH-2025,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5879,0,3998,24,0,2,2479,0,32,10,0,0,837,2,1598,0,0,52
MSitAE-MARCH-2025,RTG,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,19603,0,9942,1762,0,36,8775,0,3,414,0,0,1047,704,4191,0,3,1939
MSitAE-MARCH-2025,RWE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,22642,2150,0,0,0,0,9943,237,0,0,0,0,1607,901,6467,3,0,3646
MSitAE-MARCH-2025,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,8729,0,7623,0,0,837,2928,0,187,0,0,0,819,28,4279,0,0,619
MSitAE-MARCH-2025,RWW,NHS ENGLAND NORTH WEST ,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,7025,0,3290,247,0,61,3560,0,158,95,0,2,728,680,1807,0,0,131
MSitAE-MARCH-2025,RX1,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,13574,1817,567,0,0,0,7275,82,141,0,0,0,210,533,4380,184,0,4583
MSitAE-MARCH-2025,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,11141,1232,3618,5,0,4,3293,0,89,0,0,0,245,260,4044,677,0,2216
MSitAE-MARCH-2025,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1223,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,RYR,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,26658,1483,2059,1774,0,645,10030,39,231,476,0,4,817,912,8684,23,89,1565
MSitAE-MARCH-2025,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3752,0,0,337,0,0,11,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2260,0,0,192,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3661,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNF16,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRIDLINGTON HOSPITAL,0,0,1464,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2943,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1680,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,5526,0,0,2646,0,0,24,0,0,4,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,204,0,0,2208,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,112,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,53,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,512,0,0,3338,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,52,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,25292,3094,11779,3692,448,1059,9920,129,496,1196,25,69,2871,101,5886,148,165,429
MSitAE-MARCH-2025,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13702,0,5527,0,0,0,5364,0,0,0,0,0,1086,288,4209,4,0,2508
MSitAE-MARCH-2025,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6924,0,1650,856,0,12,2088,0,1,192,0,0,267,2,2583,0,0,1108
MSitAE-MARCH-2025,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,31792,0,3961,13,0,5,11578,0,311,4,0,0,2555,627,8531,0,174,1285
MSitAE-MARCH-2025,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4111,0,0,403,0,4529,1328,0,0,79,0,9,182,66,1881,0,0,610
MSitAE-MARCH-2025,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,9286,0,4564,53,0,147,3339,0,114,17,0,0,957,312,3856,0,0,817
MSitAE-MARCH-2025,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4859,0,425,322,0,24,499,0,0,32,0,0,7,0,1106,0,0,75
MSitAE-MARCH-2025,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
MSitAE-MARCH-2025,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,13097,0,9956,0,0,0,6180,0,229,0,0,0,422,86,3118,0,0,1840
MSitAE-MARCH-2025,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9031,1210,7023,423,0,1322,4657,0,247,190,0,19,1002,5,3814,0,0,3186
MSitAE-MARCH-2025,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,8483,0,378,0,0,0,2732,0,0,0,0,0,474,47,2303,0,0,877
MSitAE-MARCH-2025,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,9197,0,7423,0,0,355,4766,0,66,0,0,4,676,653,5717,0,0,498
MSitAE-MARCH-2025,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,9282,0,0,0,0,0,2600,0,0,0,0,0,268,71,1364,0,0,39
MSitAE-MARCH-2025,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5662,0,5652,0,0,0,2928,0,458,0,0,0,547,323,2450,0,0,1391
